       [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    
[0, 0] 0.009, -0.022, -0.025,  0.044, -0.023,  0.038,  0.049,  0.036, -0.022,  0.054,  0.061, -0.109,  0.058, -0.095, -0.123, -0.089, -0.025,  0.061,  0.069, -0.123,  0.065, -0.107, -0.138, -0.101,  0.044, -0.109, -0.123,  0.218, -0.116,  0.190,  0.245,  0.179, -0.023,  0.058,  0.065, -0.116,  0.061, -0.101, -0.130, -0.095,  0.038, -0.095, -0.107,  0.190, -0.101,  0.165,  0.214,  0.156,  0.049, -0.123, -0.138,  0.245, -0.130,  0.214,  0.277,  0.202,  0.036, -0.089, -0.101,  0.179, -0.095,  0.156,  0.202,  0.147, 
[0, 1]-0.036,  0.052,  0.039,  0.024,  0.039,  0.024,  0.021,  0.009,  0.089, -0.130, -0.097, -0.060, -0.098, -0.060, -0.052, -0.022,  0.100, -0.147, -0.109, -0.068, -0.110, -0.068, -0.059, -0.024, -0.178,  0.261,  0.194,  0.120,  0.196,  0.121,  0.105,  0.043,  0.095, -0.138, -0.103, -0.064, -0.104, -0.064, -0.056, -0.023, -0.155,  0.227,  0.169,  0.105,  0.171,  0.105,  0.091,  0.038, -0.201,  0.294,  0.219,  0.135,  0.221,  0.136,  0.118,  0.049, -0.146,  0.214,  0.159,  0.099,  0.161,  0.099,  0.086,  0.035, 
[1, 0]-0.004, -0.068,  0.042, -0.006,  0.042, -0.006,  0.021,  0.001,  0.010,  0.171, -0.104,  0.015, -0.105,  0.015, -0.051, -0.003,  0.012,  0.193, -0.118,  0.017, -0.119,  0.017, -0.058, -0.003, -0.021, -0.342,  0.209, -0.031,  0.211, -0.030,  0.103,  0.005,  0.011,  0.181, -0.111,  0.016, -0.112,  0.016, -0.054, -0.003, -0.018, -0.298,  0.182, -0.027,  0.184, -0.026,  0.089,  0.005, -0.023, -0.385,  0.235, -0.035,  0.237, -0.034,  0.116,  0.006, -0.017, -0.281,  0.172, -0.025,  0.173, -0.025,  0.084,  0.004, 
[1, 1]-0.086, -0.021, -0.021, -0.005, -0.021, -0.006, -0.004, -0.001,  0.214,  0.051,  0.052,  0.013,  0.051,  0.016,  0.010,  0.003,  0.241,  0.058,  0.059,  0.014,  0.058,  0.018,  0.011,  0.003, -0.429, -0.102, -0.105, -0.025, -0.103, -0.032, -0.019, -0.005,  0.227,  0.054,  0.056,  0.014,  0.055,  0.017,  0.010,  0.003, -0.373, -0.089, -0.091, -0.022, -0.090, -0.027, -0.017, -0.005, -0.483, -0.115, -0.118, -0.029, -0.116, -0.036, -0.022, -0.006, -0.352, -0.084, -0.086, -0.021, -0.085, -0.026, -0.016, -0.004, 
[0, 0] 0.000,  0.010,  0.008, -0.074, -0.018,  0.033,  0.041, -0.000, -0.000, -0.025, -0.020,  0.185,  0.044, -0.082, -0.102,  0.001, -0.000, -0.028, -0.022,  0.209,  0.050, -0.093, -0.115,  0.001,  0.000,  0.050,  0.040, -0.371, -0.088,  0.164,  0.203, -0.001, -0.000, -0.027, -0.021,  0.197,  0.047, -0.087, -0.108,  0.001,  0.000,  0.044,  0.035, -0.323, -0.077,  0.143,  0.177, -0.001,  0.000,  0.056,  0.045, -0.418, -0.100,  0.185,  0.229, -0.001,  0.000,  0.041,  0.033, -0.305, -0.073,  0.135,  0.167, -0.001, 
[0, 1]-0.000, -0.000,  0.064,  0.015, -0.064, -0.015,  0.000,  0.000,  0.000,  0.000, -0.161, -0.039,  0.160,  0.039, -0.001, -0.000,  0.000,  0.000, -0.181, -0.044,  0.180,  0.044, -0.001, -0.000, -0.001, -0.000,  0.322,  0.077, -0.320, -0.077,  0.001,  0.000,  0.000,  0.000, -0.171, -0.041,  0.170,  0.041, -0.001, -0.000, -0.001, -0.000,  0.280,  0.067, -0.279, -0.067,  0.001,  0.000, -0.001, -0.000,  0.363,  0.087, -0.360, -0.087,  0.002,  0.000, -0.001, -0.000,  0.264,  0.064, -0.263, -0.064,  0.001,  0.000, 
[1, 0] 0.001,  0.017, -0.014,  0.001,  0.004, -0.070,  0.058, -0.003, -0.002, -0.043,  0.034, -0.002, -0.009,  0.174, -0.144,  0.008, -0.002, -0.049,  0.038, -0.002, -0.010,  0.196, -0.163,  0.009,  0.004,  0.086, -0.068,  0.004,  0.018, -0.349,  0.289, -0.015, -0.002, -0.046,  0.036, -0.002, -0.010,  0.185, -0.153,  0.008,  0.004,  0.075, -0.059,  0.004,  0.016, -0.304,  0.252, -0.013,  0.005,  0.097, -0.077,  0.005,  0.020, -0.393,  0.326, -0.017,  0.003,  0.071, -0.056,  0.003,  0.015, -0.286,  0.237, -0.013, 
[1, 1]-0.001,  0.005,  0.005, -0.021,  0.005, -0.021, -0.021,  0.086,  0.003, -0.013, -0.013,  0.052, -0.013,  0.052,  0.052, -0.214,  0.003, -0.014, -0.014,  0.058, -0.014,  0.058,  0.058, -0.241, -0.005,  0.025,  0.025, -0.104,  0.025, -0.104, -0.104,  0.429,  0.003, -0.013, -0.013,  0.055, -0.013,  0.055,  0.055, -0.227, -0.005,  0.022,  0.022, -0.090,  0.022, -0.090, -0.090,  0.373, -0.006,  0.029,  0.028, -0.117,  0.028, -0.117, -0.117,  0.483, -0.004,  0.021,  0.021, -0.085,  0.021, -0.085, -0.085,  0.352, 
[0, 0]-0.036,  0.089,  0.100, -0.178,  0.095, -0.155, -0.201, -0.146,  0.052, -0.130, -0.147,  0.261, -0.138,  0.227,  0.294,  0.214,  0.039, -0.097, -0.109,  0.194, -0.103,  0.169,  0.219,  0.159,  0.024, -0.060, -0.068,  0.120, -0.064,  0.105,  0.135,  0.099,  0.039, -0.098, -0.110,  0.196, -0.104,  0.171,  0.221,  0.161,  0.024, -0.060, -0.068,  0.121, -0.064,  0.105,  0.136,  0.099,  0.021, -0.052, -0.059,  0.105, -0.056,  0.091,  0.118,  0.086,  0.009, -0.022, -0.024,  0.043, -0.023,  0.038,  0.049,  0.035, 
[0, 1] 0.146, -0.214, -0.159, -0.098, -0.160, -0.099, -0.086, -0.035, -0.214,  0.312,  0.232,  0.144,  0.235,  0.145,  0.126,  0.052, -0.159,  0.232,  0.173,  0.107,  0.175,  0.108,  0.093,  0.038, -0.098,  0.144,  0.107,  0.066,  0.108,  0.067,  0.058,  0.024, -0.160,  0.235,  0.175,  0.108,  0.176,  0.109,  0.094,  0.039, -0.099,  0.145,  0.108,  0.067,  0.109,  0.067,  0.058,  0.024, -0.086,  0.126,  0.093,  0.058,  0.094,  0.058,  0.050,  0.021, -0.035,  0.052,  0.038,  0.024,  0.039,  0.024,  0.021,  0.009, 
