       [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    
[0, 0]-1.324,  0.000, -0.001,  0.003, -0.006, -0.001,  0.182,  0.000,  0.000, -0.001, -0.000, -0.001,  0.000,  0.000,  0.000, -0.759, -0.001, -0.000, -0.000, -0.000,  0.000,  0.000,  0.000, -0.141,  0.003, -0.001, -0.000,  0.000,  0.002, -0.000,  0.003,  0.000, -0.006,  0.000,  0.000,  0.002,  0.303,  0.001,  0.114,  0.001, -0.001,  0.000,  0.000, -0.000,  0.001, -0.000,  0.000, -0.086,  0.182,  0.000,  0.000,  0.003,  0.114,  0.000,  0.160, -0.000,  0.000, -0.759, -0.141,  0.000,  0.001, -0.086, -0.000,  0.000, 
[0, 1] 0.000, -1.132, -0.076, -0.000,  0.001, -0.000, -0.000,  0.000, -0.837,  0.000, -0.001,  0.004, -0.002, -0.000,  0.199,  0.000, -0.191, -0.001, -0.000, -0.001, -0.091, -0.000, -0.022,  0.000,  0.000,  0.001,  0.004,  0.001, -0.000, -0.000, -0.000, -0.000,  0.001, -0.056,  0.260,  0.000, -0.000, -0.175,  0.000, -0.000, -0.095, -0.001,  0.001, -0.000,  0.108, -0.000, -0.012, -0.000, -0.000,  0.041,  0.199, -0.000, -0.000,  0.000,  0.000, -0.000, -0.001,  0.000, -0.001,  0.672, -0.001,  0.001, -0.013, -0.001, 
[1, 0]-0.001, -0.076, -0.051,  0.001, -0.000,  0.241, -0.000, -0.000, -0.191, -0.001,  0.000, -0.006, -0.119, -0.001, -0.308, -0.000,  0.069, -0.000, -0.001, -0.005, -0.092, -0.000, -0.257, -0.000,  0.000,  0.004,  0.000,  0.000,  0.000, -0.000, -0.000,  0.000,  0.000,  0.260, -0.109,  0.000,  0.000, -0.158,  0.000,  0.000, -0.050,  0.000, -0.001,  0.002, -0.083, -0.000,  0.082, -0.000,  0.000,  0.199, -0.000,  0.000, -0.000, -0.000, -0.000,  0.000, -0.000, -0.000,  0.000,  0.046, -0.000,  0.000, -0.001, -0.000, 
[1, 1] 0.003, -0.000,  0.001, -0.923, -0.002, -0.001,  0.018, -0.001,  0.000,  0.756, -0.016, -0.000, -0.001, -0.107,  0.000, -0.002,  0.000,  0.128,  0.212, -0.000, -0.000, -0.082,  0.000,  0.002,  0.000, -0.000,  0.000,  0.001,  0.000, -0.000,  0.000,  0.000,  0.002, -0.000, -0.000,  0.034,  0.002, -0.000,  0.002, -0.000, -0.000,  0.095, -0.068, -0.001, -0.001,  0.151, -0.000,  0.000,  0.003,  0.000,  0.000,  0.020,  0.002, -0.000,  0.003,  0.000, -0.001,  0.002, -0.006, -0.000,  0.000, -0.005, -0.000,  0.000, 
[0, 0]-0.006,  0.001, -0.000, -0.002, -0.239, -0.001, -0.156,  0.001,  0.001, -0.001, -0.000,  0.000, -0.001,  0.000,  0.000,  0.036,  0.000,  0.000, -0.000,  0.000, -0.001,  0.000,  0.000,  0.178,  0.002, -0.000, -0.000,  0.000,  0.001,  0.001,  0.002,  0.000,  0.303, -0.000,  0.000,  0.002, -0.223, -0.000,  0.080,  0.000,  0.001, -0.000,  0.000, -0.000, -0.001, -0.000,  0.000, -0.168,  0.114, -0.000, -0.000,  0.002,  0.101, -0.000,  0.112,  0.000,  0.000, -0.020, -0.134, -0.001, -0.001,  0.301, -0.000, -0.000, 
[0, 1]-0.001, -0.000,  0.241, -0.001, -0.001,  0.280, -0.000,  0.000, -0.095,  0.001,  0.000, -0.006,  0.383,  0.000, -0.354, -0.000, -0.050, -0.000,  0.000, -0.000, -0.098, -0.001, -0.014,  0.000, -0.000, -0.000, -0.000, -0.000, -0.000,  0.005, -0.000,  0.000,  0.001, -0.175, -0.158, -0.000, -0.001,  0.175,  0.000,  0.000,  0.091, -0.000, -0.000,  0.001,  0.163,  0.000,  0.032, -0.000,  0.000,  0.000, -0.000, -0.000, -0.000,  0.220,  0.000,  0.000,  0.000, -0.000, -0.001, -0.099,  0.000,  0.000,  0.002,  0.000, 
[1, 0] 0.182, -0.000, -0.000,  0.018, -0.156, -0.000,  0.027, -0.000, -0.000, -0.014,  0.000, -0.000, -0.001,  0.002,  0.000, -0.083,  0.000, -0.002, -0.004,  0.000, -0.000,  0.001, -0.001,  0.130,  0.003,  0.000, -0.001,  0.000,  0.002, -0.000,  0.003, -0.000,  0.114,  0.000, -0.000,  0.002,  0.080,  0.000,  0.147,  0.000,  0.000, -0.002,  0.001,  0.000, -0.000, -0.003, -0.000,  0.026,  0.160,  0.000, -0.000,  0.003,  0.112,  0.000,  0.178,  0.000,  0.000,  0.157, -0.327,  0.000,  0.000, -0.293,  0.000,  0.000, 
[1, 1] 0.000,  0.000, -0.000, -0.001,  0.001,  0.000, -0.000, -1.555, -0.001, -0.001,  0.000,  0.000,  0.000,  0.000,  0.000, -0.000, -0.000, -0.000, -0.000, -0.000, -0.000,  0.000, -0.000, -0.001, -0.001, -0.000, -0.000,  0.000,  0.000,  0.000, -0.000,  0.003,  0.000, -0.000,  0.000, -0.000,  0.000,  0.000,  0.000, -0.058,  0.000, -0.000,  0.000, -0.000,  0.000, -0.000, -0.000, -0.001,  0.000, -0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.220, -0.677,  0.000, -0.000, -0.001,  0.069, -0.000, -0.025,  0.000, 
[0, 0] 0.000, -0.837, -0.191,  0.000,  0.001, -0.095, -0.000, -0.001, -1.132,  0.000, -0.001,  0.001, -0.056, -0.001,  0.041,  0.000, -0.076, -0.001, -0.000,  0.004,  0.260,  0.001,  0.199, -0.001, -0.000,  0.004, -0.001,  0.001,  0.000, -0.000, -0.000,  0.672,  0.001, -0.002, -0.091, -0.000, -0.000,  0.108, -0.000, -0.001, -0.000, -0.000, -0.000, -0.000, -0.175, -0.000,  0.000,  0.001, -0.000,  0.199, -0.022, -0.000,  0.000, -0.012,  0.000, -0.013,  0.000,  0.000,  0.000, -0.000, -0.000, -0.000, -0.000, -0.001, 
[0, 1]-0.001,  0.000, -0.001,  0.756, -0.001,  0.001, -0.014, -0.001,  0.000, -1.303, -0.225, -0.000,  0.001, -0.041, -0.001,  0.000, -0.001, -0.225,  0.310,  0.001, -0.000, -0.093,  0.001, -0.000,  0.756, -0.000,  0.001, -0.005,  0.035,  0.000, -0.153, -0.000, -0.001,  0.001, -0.000,  0.035, -0.000,  0.000, -0.001, -0.000,  0.001, -0.041, -0.093,  0.000,  0.000,  0.138, -0.000,  0.000, -0.014, -0.001,  0.001, -0.153, -0.001, -0.000,  0.006,  0.000, -0.001,  0.000, -0.000, -0.000, -0.000,  0.000,  0.000,  0.000, 
