       [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    
[0, 0]-2.250,  0.003,  0.000, -0.002, -0.001, -0.000, -0.001,  0.021,  0.003,  0.000, -0.000, -0.000, -0.000,  0.000,  0.000, -0.000,  0.000, -0.000, -0.000,  0.000, -0.000,  0.000, -0.000, -0.000, -0.002, -0.000,  0.000, -0.000, -0.000, -0.000, -0.000,  0.000, -0.001, -0.000, -0.000, -0.000, -0.000,  0.000, -0.000,  0.000, -0.000,  0.000,  0.000, -0.000,  0.000, -0.001, -0.000,  0.000, -0.001,  0.000, -0.000, -0.000, -0.000, -0.000, -0.000, -0.000,  0.021, -0.000, -0.000,  0.000,  0.000,  0.000, -0.000, -0.001, 
[0, 1] 0.003, -0.175,  0.001,  0.002, -0.001, -0.160,  0.004, -0.000,  0.173,  0.002,  0.000, -0.000, -0.000,  0.000, -0.000,  0.000, -0.000,  0.000,  0.000,  0.000, -0.000, -0.000, -0.000,  0.000, -0.000, -0.001, -0.000,  0.000, -0.000,  0.000,  0.000,  0.000, -0.000, -0.000, -0.000,  0.000, -0.000, -0.000, -0.000, -0.000,  0.093, -0.001, -0.000, -0.001,  0.003,  0.002, -0.000, -0.003,  0.002, -0.001, -0.000, -0.000,  0.000, -0.000, -0.000, -0.000,  0.000,  0.012,  0.000,  0.000, -0.000,  0.000, -0.002,  0.001, 
[1, 0] 0.000,  0.001, -0.250, -0.001,  0.000,  0.008,  0.006, -0.004, -0.000,  0.001,  0.001,  0.173,  0.093, -0.000, -0.001,  0.003,  0.000,  0.000,  0.000, -0.000,  0.005,  0.000,  0.009,  0.000, -0.000, -0.000, -0.000, -0.000, -0.000, -0.000, -0.002, -0.000,  0.000,  0.000,  0.001, -0.000, -0.000,  0.000,  0.003, -0.000,  0.005, -0.001, -0.000,  0.093, -0.673,  0.000, -0.000,  0.000,  0.000, -0.000,  0.000,  0.002, -0.003,  0.000,  0.000,  0.000,  0.009,  0.003,  0.005,  0.002, -0.001,  0.002,  0.500, -0.000, 
[1, 1]-0.002,  0.002, -0.001,  0.672,  0.070,  0.003, -0.002,  0.018, -0.000, -0.077, -0.001,  0.002,  0.000,  0.097, -0.001,  0.000, -0.000,  0.003,  0.000,  0.000,  0.000, -0.000, -0.000,  0.007,  0.000,  0.000, -0.000, -0.001, -0.000, -0.000, -0.000, -0.002, -0.000,  0.000,  0.000,  0.000,  0.000, -0.000,  0.000,  0.003, -0.000, -0.474, -0.002,  0.001, -0.000,  0.102,  0.003, -0.003, -0.000, -0.003, -0.000, -0.000,  0.000,  0.001,  0.000,  0.000, -0.002, -0.002,  0.007,  0.002,  0.001, -0.001,  0.000,  0.416, 
[0, 0]-0.001, -0.001,  0.000,  0.070, -0.922,  0.000,  0.003,  0.004, -0.000,  0.097,  0.001, -0.000,  0.002, -0.119,  0.002, -0.000,  0.000, -0.000,  0.000, -0.000,  0.000, -0.005,  0.000,  0.005, -0.000, -0.000, -0.000,  0.000, -0.001,  0.000,  0.000, -0.001,  0.000, -0.000,  0.000, -0.000,  0.000,  0.000, -0.000,  0.002, -0.000,  0.102, -0.005, -0.001, -0.000,  0.768, -0.003,  0.002, -0.000,  0.001, -0.000,  0.000, -0.000,  0.003, -0.000,  0.000,  0.003,  0.002,  0.005, -0.003,  0.007,  0.003, -0.000,  0.276, 
[0, 1]-0.000, -0.160,  0.008,  0.003,  0.000, -1.575,  0.003, -0.006,  0.093,  0.000, -0.000,  0.001,  0.000,  0.002, -0.000, -0.003,  0.005, -0.000, -0.000,  0.000,  0.000,  0.000,  0.000, -0.000, -0.000,  0.000,  0.000, -0.000,  0.000, -0.001, -0.000, -0.000, -0.000, -0.000,  0.000, -0.000, -0.000, -0.000,  0.000,  0.000, -0.673,  0.001,  0.000,  0.000, -0.004, -0.000, -0.000,  0.009, -0.003, -0.000,  0.000,  0.000, -0.000, -0.001, -0.000,  0.000, -0.006,  0.000, -0.000, -0.000, -0.000,  0.012,  0.003,  0.000, 
[1, 0]-0.001,  0.004,  0.006, -0.002,  0.003,  0.003, -0.000,  0.001,  0.002, -0.001,  0.003, -0.005,  0.002, -0.001,  0.002,  0.195,  0.000,  0.007,  0.000, -0.000, -0.000,  0.005,  0.000,  0.003, -0.000, -0.002, -0.000, -0.000,  0.000, -0.001, -0.001, -0.000, -0.000,  0.003, -0.000,  0.000, -0.000,  0.002,  0.000, -0.000, -0.003, -0.001, -0.005,  0.005,  0.000, -0.003,  0.000, -0.295, -0.000,  0.000, -0.000,  0.000, -0.000,  0.000, -0.000, -0.000,  0.000,  0.417, -0.001, -0.001, -0.001,  0.276,  0.004, -0.002, 
[1, 1] 0.021, -0.000, -0.004,  0.018,  0.004, -0.006,  0.001, -0.500,  0.000,  0.000,  0.000, -0.003, -0.002, -0.001,  0.000,  0.002,  0.009,  0.000, -0.000, -0.000, -0.000, -0.000, -0.000,  0.000, -0.002,  0.000, -0.000,  0.000,  0.000, -0.000,  0.000, -0.001,  0.003, -0.000, -0.000,  0.000,  0.000,  0.000, -0.000, -0.000, -0.006, -0.008, -0.000, -0.002,  0.012,  0.003, -0.000, -0.001,  0.000, -0.000, -0.000, -0.000,  0.000,  0.000, -0.000, -0.000,  0.500, -0.000,  0.000, -0.000,  0.000, -0.000, -0.009,  0.012, 
[0, 0] 0.003,  0.173, -0.000, -0.000, -0.000,  0.093,  0.002,  0.000, -0.175,  0.002,  0.000, -0.001, -0.000, -0.001, -0.001,  0.012,  0.001,  0.000,  0.000, -0.000, -0.000, -0.000, -0.000,  0.000,  0.002, -0.000,  0.000,  0.000,  0.000, -0.001, -0.000,  0.000, -0.001, -0.000, -0.000, -0.000, -0.000,  0.003,  0.000, -0.000, -0.160,  0.000, -0.000,  0.000, -0.000,  0.002, -0.000,  0.000,  0.004, -0.000, -0.000,  0.000, -0.000, -0.000, -0.000, -0.002, -0.000,  0.000,  0.000,  0.000, -0.000, -0.003, -0.000,  0.001, 
[0, 1] 0.000,  0.002,  0.001, -0.077,  0.097,  0.000, -0.001,  0.000,  0.002,  1.641,  0.004, -0.000, -0.003,  0.000,  0.000,  0.000,  0.001,  0.004,  0.000, -0.000,  0.000, -0.001,  0.000,  0.003, -0.077, -0.000, -0.000,  0.001,  0.001,  0.001, -0.000, -0.002,  0.097, -0.003,  0.000,  0.001, -0.001, -0.000,  0.000, -0.000,  0.000,  0.000, -0.001,  0.001, -0.000,  0.106,  0.000,  0.000, -0.001,  0.000,  0.000, -0.000,  0.000,  0.000, -0.003,  0.001,  0.000,  0.000,  0.003, -0.002, -0.000,  0.000,  0.001,  0.153, 
